limited Solar_eclipse_of_August_21,_2017.txt 1 3824 
on Solar_eclipse_of_August_21,_2017.txt 45 54 111 204 875 1025 1219 1555 1635 1646 1729 1976 2063 2164 2463 2474 2612 2935 3364 3389 3434 3487 3570 3578 3585 3609 3651 3706 3738 3768 3818 3863 3887 4010 4115 4149 4293 4547 4708 4719 4729 4811 4821 4830 4855 4864 
central Solar_eclipse_of_August_21,_2017.txt 3 1405 1418 2592 
of Solar_eclipse_of_August_21,_2017.txt 184 2 10 98 154 162 171 174 180 183 189 346 354 419 435 536 562 584 603 629 659 666 673 691 704 757 760 779 825 835 850 883 893 895 899 907 949 965 973 981 1000 1009 1011 1014 1029 1035 1043 1049 1056 1072 1076 1084 1103 1110 1138 1146 1158 1168 1192 1244 1319 1343 1361 1440 1508 1524 1531 1544 1551 1604 1609 1641 1709 1769 1781 1800 1820 1825 1834 1841 1845 1927 1998 2011 2051 2075 2161 2271 2279 2317 2320 2348 2379 2407 2444 2446 2452 2460 2480 2487 2533 2573 2591 2615 2649 2677 2684 2693 2715 2739 2779 2804 2823 2878 2890 2901 2914 2919 2921 2928 2944 2953 2963 3004 3044 3047 3084 3096 3114 3143 3155 3187 3233 3298 3367 3397 3439 3483 3492 3546 3554 3559 3590 3616 3632 3637 3644 3654 3681 3754 3770 3795 3823 3826 3961 3991 4091 4096 4128 4139 4172 4179 4187 4258 4278 4302 4332 4400 4463 4491 4497 4530 4557 4567 4590 4609 4670 4683 4758 4774 4788 4872 4874 4911 4959 
industry Solar_eclipse_of_August_21,_2017.txt 1 2509 
thousands Solar_eclipse_of_August_21,_2017.txt 1 2927 
act Solar_eclipse_of_August_21,_2017.txt 1 4231 
backup Solar_eclipse_of_August_21,_2017.txt 1 3965 
or Solar_eclipse_of_August_21,_2017.txt 15 1482 2331 2550 2624 2982 3131 3762 3840 4078 4118 4121 4275 4639 4649 4913 
road Solar_eclipse_of_August_21,_2017.txt 4 3604 3708 3865 4210 
lands Solar_eclipse_of_August_21,_2017.txt 1 1026 
communication Solar_eclipse_of_August_21,_2017.txt 1 298 
image Solar_eclipse_of_August_21,_2017.txt 4 2863 4586 4589 4605 
references Solar_eclipse_of_August_21,_2017.txt 1 4946 
parties Solar_eclipse_of_August_21,_2017.txt 2 1380 1393 
cate Solar_eclipse_of_August_21,_2017.txt 1 1904 
prepare Solar_eclipse_of_August_21,_2017.txt 1 3018 
area Solar_eclipse_of_August_21,_2017.txt 7 170 182 191 1075 3360 4029 4243 
there Solar_eclipse_of_August_21,_2017.txt 11 224 2424 3111 3200 3473 3657 3829 3910 3927 4234 4470 
spectroradiometer Solar_eclipse_of_August_21,_2017.txt 1 1949 
stars Solar_eclipse_of_August_21,_2017.txt 1 764 
house Solar_eclipse_of_August_21,_2017.txt 1 1969 
valley Solar_eclipse_of_August_21,_2017.txt 1 1888 
energy Solar_eclipse_of_August_21,_2017.txt 4 4073 4422 4434 4467 
6:44 Solar_eclipse_of_August_21,_2017.txt 1 245 
regard Solar_eclipse_of_August_21,_2017.txt 1 3733 
land Solar_eclipse_of_August_21,_2017.txt 5 55 196 203 235 462 
with Solar_eclipse_of_August_21,_2017.txt 32 187 219 260 320 336 343 859 962 1040 1053 1644 1703 1712 1829 1832 1980 1985 2360 2508 2707 2800 2830 3087 3152 3452 3765 3858 4445 4455 4578 4806 4868 
pull Solar_eclipse_of_August_21,_2017.txt 1 4157 
rush Solar_eclipse_of_August_21,_2017.txt 2 3385 4047 
october Solar_eclipse_of_August_21,_2017.txt 1 401 
benton Solar_eclipse_of_August_21,_2017.txt 1 1111 
glendo Solar_eclipse_of_August_21,_2017.txt 1 3742 
peeking Solar_eclipse_of_August_21,_2017.txt 1 2770 
telescopic Solar_eclipse_of_August_21,_2017.txt 1 707 
celestial Solar_eclipse_of_August_21,_2017.txt 2 747 1664 
videos Solar_eclipse_of_August_21,_2017.txt 1 4617 
cinema Solar_eclipse_of_August_21,_2017.txt 1 2903 
combining Solar_eclipse_of_August_21,_2017.txt 1 4093 
general Solar_eclipse_of_August_21,_2017.txt 2 1996 3926 
cbs Solar_eclipse_of_August_21,_2017.txt 1 1687 
as Solar_eclipse_of_August_21,_2017.txt 42 46 62 65 208 252 304 713 1127 1129 1202 1434 1436 1444 1594 2136 2225 2359 2430 2451 2579 2581 2597 2599 3460 3668 3674 3676 3691 3953 4059 4145 4166 4206 4208 4232 4263 4265 4314 4357 4415 4646 4851 
salem Solar_eclipse_of_August_21,_2017.txt 1 483 
at Solar_eclipse_of_August_21,_2017.txt 41 88 212 225 243 262 324 473 569 593 696 1067 1214 1241 1313 1383 1396 1483 1537 1853 1867 1966 2145 2568 2640 2673 2755 2771 2792 3120 3156 3665 3682 3741 3803 3983 4036 4076 4347 4771 4848 4963 
planets Solar_eclipse_of_August_21,_2017.txt 1 767 
watched Solar_eclipse_of_August_21,_2017.txt 1 1308 
again Solar_eclipse_of_August_21,_2017.txt 1 2149 
drivers Solar_eclipse_of_August_21,_2017.txt 4 2943 3371 3697 3892 
hybrid Solar_eclipse_of_August_21,_2017.txt 1 4828 
field Solar_eclipse_of_August_21,_2017.txt 1 1221 
5 Solar_eclipse_of_August_21,_2017.txt 1 4894 
you Solar_eclipse_of_August_21,_2017.txt 1 2657 
thousand Solar_eclipse_of_August_21,_2017.txt 1 3661 
briefly Solar_eclipse_of_August_21,_2017.txt 2 726 1993 
jalu Solar_eclipse_of_August_21,_2017.txt 1 4615 
includes Solar_eclipse_of_August_21,_2017.txt 2 2525 2553 
peak Solar_eclipse_of_August_21,_2017.txt 1 3666 
coverage Solar_eclipse_of_August_21,_2017.txt 7 236 1305 1589 1608 1623 1651 1728 
included Solar_eclipse_of_August_21,_2017.txt 1 3165 
twice-a-season Solar_eclipse_of_August_21,_2017.txt 1 4070 
curve Solar_eclipse_of_August_21,_2017.txt 1 4421 
websites Solar_eclipse_of_August_21,_2017.txt 2 1326 2166 
missouri Solar_eclipse_of_August_21,_2017.txt 6 447 494 497 1089 1126 1279 
resolution Solar_eclipse_of_August_21,_2017.txt 1 1947 
all Solar_eclipse_of_August_21,_2017.txt 9 665 1320 1548 2031 2389 2469 2920 3331 4094 
suns Solar_eclipse_of_August_21,_2017.txt 1 2869 
alerting Solar_eclipse_of_August_21,_2017.txt 1 2942 
commute Solar_eclipse_of_August_21,_2017.txt 2 4272 4282 
causes Solar_eclipse_of_August_21,_2017.txt 1 4299 
hopkinsville-to-lexington Solar_eclipse_of_August_21,_2017.txt 1 4281 
tv Solar_eclipse_of_August_21,_2017.txt 2 1302 1627 
farmington Solar_eclipse_of_August_21,_2017.txt 1 1122 
wyoming Solar_eclipse_of_August_21,_2017.txt 8 443 489 700 1255 3001 3743 3748 3880 
to Solar_eclipse_of_August_21,_2017.txt 98 42 61 114 201 334 361 709 725 776 786 854 889 918 922 933 1005 1021 1173 1182 1322 1371 1503 1620 1699 1765 1815 1864 1881 1886 1906 1918 2056 2068 2116 2198 2236 2310 2397 2514 2531 2726 2752 2785 2840 2860 2926 2968 3017 3063 3066 3136 3167 3173 3182 3197 3230 3245 3255 3283 3329 3343 3402 3475 3497 3508 3518 3520 3537 3542 3594 3598 3607 3619 3627 3736 3801 3898 3901 3919 4027 4061 4156 4162 4217 4230 4328 4342 4382 4428 4483 4527 4560 4572 4599 4699 4713 4932 4944 
present Solar_eclipse_of_August_21,_2017.txt 1 3705 
nodes Solar_eclipse_of_August_21,_2017.txt 1 4773 
midwest Solar_eclipse_of_August_21,_2017.txt 1 554 
activities Solar_eclipse_of_August_21,_2017.txt 1 4221 
woman Solar_eclipse_of_August_21,_2017.txt 1 2759 
returned Solar_eclipse_of_August_21,_2017.txt 2 2826 3472 
returning Solar_eclipse_of_August_21,_2017.txt 1 4039 
far Solar_eclipse_of_August_21,_2017.txt 3 63 3675 3929 
worst Solar_eclipse_of_August_21,_2017.txt 2 3955 4000 
manageable Solar_eclipse_of_August_21,_2017.txt 1 4513 
illustrated Solar_eclipse_of_August_21,_2017.txt 1 2689 
pbs Solar_eclipse_of_August_21,_2017.txt 1 1723 
louis Solar_eclipse_of_August_21,_2017.txt 1 496 
list Solar_eclipse_of_August_21,_2017.txt 1 2316 
large Solar_eclipse_of_August_21,_2017.txt 3 1602 2132 3883 
these Solar_eclipse_of_August_21,_2017.txt 1 3163 
small Solar_eclipse_of_August_21,_2017.txt 1 702 
broader Solar_eclipse_of_August_21,_2017.txt 1 657 
rate Solar_eclipse_of_August_21,_2017.txt 3 3124 3128 4365 
regulus Solar_eclipse_of_August_21,_2017.txt 1 772 
pass Solar_eclipse_of_August_21,_2017.txt 1 676 
nbc Solar_eclipse_of_August_21,_2017.txt 1 1689 
further Solar_eclipse_of_August_21,_2017.txt 2 3690 4948 
makanda Solar_eclipse_of_August_21,_2017.txt 2 1065 1085 
what Solar_eclipse_of_August_21,_2017.txt 2 2975 4041 
abc Solar_eclipse_of_August_21,_2017.txt 1 1686 
darkness Solar_eclipse_of_August_21,_2017.txt 1 4457 
sun Solar_eclipse_of_August_21,_2017.txt 14 712 729 781 1887 1987 2000 2239 2560 2642 2651 2757 4569 4626 4656 
section Solar_eclipse_of_August_21,_2017.txt 2 745 3615 
full Solar_eclipse_of_August_21,_2017.txt 2 4137 4592 
vale Solar_eclipse_of_August_21,_2017.txt 1 1849 
hours Solar_eclipse_of_August_21,_2017.txt 10 683 2541 3280 3459 3507 3536 3900 4291 4768 4799 
concluding Solar_eclipse_of_August_21,_2017.txt 1 2411 
experience Solar_eclipse_of_August_21,_2017.txt 2 314 1095 
prior Solar_eclipse_of_August_21,_2017.txt 4 113 1004 3196 4598 
airport Solar_eclipse_of_August_21,_2017.txt 1 3269 
social Solar_eclipse_of_August_21,_2017.txt 2 291 313 
narrow Solar_eclipse_of_August_21,_2017.txt 1 426 
89.11667w Solar_eclipse_of_August_21,_2017.txt 1 574 
via Solar_eclipse_of_August_21,_2017.txt 2 3351 4260 
requiring Solar_eclipse_of_August_21,_2017.txt 1 4222 
transit Solar_eclipse_of_August_21,_2017.txt 1 727 
africa Solar_eclipse_of_August_21,_2017.txt 6 73 692 1564 1571 1575 4742 
backed Solar_eclipse_of_August_21,_2017.txt 2 3432 3672 
semester Solar_eclipse_of_August_21,_2017.txt 2 4756 4770 
1909 Solar_eclipse_of_August_21,_2017.txt 1 4833 
1900 Solar_eclipse_of_August_21,_2017.txt 2 4931 4943 
eye Solar_eclipse_of_August_21,_2017.txt 5 366 2461 2520 2544 2600 
takes Solar_eclipse_of_August_21,_2017.txt 1 3527 
one-day Solar_eclipse_of_August_21,_2017.txt 1 3820 
two Solar_eclipse_of_August_21,_2017.txt 7 633 1058 1096 1148 3506 3796 3845 
6 Solar_eclipse_of_August_21,_2017.txt 2 864 4823 
minor Solar_eclipse_of_August_21,_2017.txt 1 4324 
more Solar_eclipse_of_August_21,_2017.txt 7 1199 3132 3271 3446 3774 3875 4955 
horses Solar_eclipse_of_August_21,_2017.txt 1 2102 
diamond Solar_eclipse_of_August_21,_2017.txt 2 1235 4641 
company Solar_eclipse_of_August_21,_2017.txt 2 2381 2816 
tested Solar_eclipse_of_August_21,_2017.txt 2 2339 2403 
hour Solar_eclipse_of_August_21,_2017.txt 5 3386 3406 3664 3685 4048 
science Solar_eclipse_of_August_21,_2017.txt 2 1402 1717 
patrols Solar_eclipse_of_August_21,_2017.txt 1 4195 
nebraska Solar_eclipse_of_August_21,_2017.txt 4 444 491 1267 1276 
halts Solar_eclipse_of_August_21,_2017.txt 1 3713 
4:05 Solar_eclipse_of_August_21,_2017.txt 1 213 
history Solar_eclipse_of_August_21,_2017.txt 2 1757 1847 
impacts Solar_eclipse_of_August_21,_2017.txt 1 4325 
stated Solar_eclipse_of_August_21,_2017.txt 2 1658 2396 
archipelago Solar_eclipse_of_August_21,_2017.txt 1 1497 
purchased Solar_eclipse_of_August_21,_2017.txt 1 2518 
concordant Solar_eclipse_of_August_21,_2017.txt 1 2799 
lacks Solar_eclipse_of_August_21,_2017.txt 1 2285 
information Solar_eclipse_of_August_21,_2017.txt 3 296 2366 2484 
rather Solar_eclipse_of_August_21,_2017.txt 1 2276 
stayed Solar_eclipse_of_August_21,_2017.txt 1 3841 
idaho Solar_eclipse_of_August_21,_2017.txt 16 441 485 487 910 1248 1254 1883 1889 3008 3290 3323 3410 3440 3493 3540 3601 
plant Solar_eclipse_of_August_21,_2017.txt 1 2081 
plans Solar_eclipse_of_August_21,_2017.txt 3 1619 1764 3597 
blood Solar_eclipse_of_August_21,_2017.txt 1 3097 
a Solar_eclipse_of_August_21,_2017.txt 85 23 29 47 140 166 209 253 363 417 425 516 522 648 701 737 754 963 1101 1164 1220 1269 1353 1412 1452 1474 1576 1601 1663 1737 1798 1890 1961 2275 2315 2380 2478 2562 2664 2702 2708 2758 2777 2813 2902 2932 2979 2983 2992 3010 3306 3415 3481 3523 3603 3614 3620 3641 3660 3669 3679 3720 3727 3786 3804 3814 3819 3855 3985 4007 4089 4289 4300 4504 4531 4579 4640 4723 4755 4769 4786 4807 4817 4827 4852 4869 
departure Solar_eclipse_of_August_21,_2017.txt 1 4257 
media Solar_eclipse_of_August_21,_2017.txt 5 21 96 292 1586 1605 
balloon Solar_eclipse_of_August_21,_2017.txt 2 1831 1861 
help Solar_eclipse_of_August_21,_2017.txt 2 3256 4141 
september Solar_eclipse_of_August_21,_2017.txt 1 4842 
slooh Solar_eclipse_of_August_21,_2017.txt 1 1785 
held Solar_eclipse_of_August_21,_2017.txt 3 1382 1395 1965 
paper Solar_eclipse_of_August_21,_2017.txt 1 2362 
through Solar_eclipse_of_August_21,_2017.txt 3 482 1624 4841 
signs Solar_eclipse_of_August_21,_2017.txt 1 4148 
its Solar_eclipse_of_August_21,_2017.txt 13 758 979 1625 1826 1896 2165 2371 2475 2824 3068 4136 4460 4564 
24 Solar_eclipse_of_August_21,_2017.txt 1 3423 
25 Solar_eclipse_of_August_21,_2017.txt 2 3740 4866 
26 Solar_eclipse_of_August_21,_2017.txt 4 901 3263 3437 4721 
27 Solar_eclipse_of_August_21,_2017.txt 1 2465 
20 Solar_eclipse_of_August_21,_2017.txt 2 3580 4549 
21 Solar_eclipse_of_August_21,_2017.txt 5 4 12 3611 4601 4961 
23 Solar_eclipse_of_August_21,_2017.txt 1 2454 
29 Solar_eclipse_of_August_21,_2017.txt 3 4367 4611 4839 
actually Solar_eclipse_of_August_21,_2017.txt 1 2644 
late Solar_eclipse_of_August_21,_2017.txt 1 80 
might Solar_eclipse_of_August_21,_2017.txt 1 4224 
fines Solar_eclipse_of_August_21,_2017.txt 1 3171 
evening Solar_eclipse_of_August_21,_2017.txt 3 81 1481 2100 
northwestern Solar_eclipse_of_August_21,_2017.txt 2 70 1472 
anticipated Solar_eclipse_of_August_21,_2017.txt 3 360 3061 3938 
sunglint Solar_eclipse_of_August_21,_2017.txt 1 2240 
party Solar_eclipse_of_August_21,_2017.txt 1 1963 
communities Solar_eclipse_of_August_21,_2017.txt 1 351 
viewers Solar_eclipse_of_August_21,_2017.txt 1 3461 
27.82 Solar_eclipse_of_August_21,_2017.txt 1 1468 
level Solar_eclipse_of_August_21,_2017.txt 1 2795 
repeating Solar_eclipse_of_August_21,_2017.txt 1 4792 
heavy Solar_eclipse_of_August_21,_2017.txt 1 4020 
generation Solar_eclipse_of_August_21,_2017.txt 1 4305 
resolute Solar_eclipse_of_August_21,_2017.txt 1 1375 
contiguous Solar_eclipse_of_August_21,_2017.txt 6 35 126 437 843 872 940 
cicadas Solar_eclipse_of_August_21,_2017.txt 1 2113 
accidentally Solar_eclipse_of_August_21,_2017.txt 1 2440 
event Solar_eclipse_of_August_21,_2017.txt 8 116 286 1665 2112 2153 2173 3211 4829 
specials Solar_eclipse_of_August_21,_2017.txt 1 1698 
trooper Solar_eclipse_of_August_21,_2017.txt 1 4113 
since Solar_eclipse_of_August_21,_2017.txt 8 129 134 625 823 846 926 976 996 
projected Solar_eclipse_of_August_21,_2017.txt 1 4341 
commemorative Solar_eclipse_of_August_21,_2017.txt 1 4537 
safety Solar_eclipse_of_August_21,_2017.txt 2 2483 4194 
7 Solar_eclipse_of_August_21,_2017.txt 5 631 877 4528 4731 4875 
occurs Solar_eclipse_of_August_21,_2017.txt 1 2557 
highway Solar_eclipse_of_August_21,_2017.txt 4 3353 3618 3638 4107 
2050 Solar_eclipse_of_August_21,_2017.txt 2 4933 4945 
imaging Solar_eclipse_of_August_21,_2017.txt 1 1948 
put Solar_eclipse_of_August_21,_2017.txt 1 2205 
beginning Solar_eclipse_of_August_21,_2017.txt 4 223 526 1502 1530 
pairs Solar_eclipse_of_August_21,_2017.txt 1 2445 
american Solar_eclipse_of_August_21,_2017.txt 5 17 2297 2361 2987 4319 
87.67167 Solar_eclipse_of_August_21,_2017.txt 1 599 
major Solar_eclipse_of_August_21,_2017.txt 2 2993 3827 
number Solar_eclipse_of_August_21,_2017.txt 2 1603 2336 
fancy Solar_eclipse_of_August_21,_2017.txt 1 2026 
traveled Solar_eclipse_of_August_21,_2017.txt 3 917 3464 3879 
feet Solar_eclipse_of_August_21,_2017.txt 2 1855 1869 
elder Solar_eclipse_of_August_21,_2017.txt 1 3394 
13,000 Solar_eclipse_of_August_21,_2017.txt 1 1833 
colombia Solar_eclipse_of_August_21,_2017.txt 1 1445 
campground Solar_eclipse_of_August_21,_2017.txt 1 3029 
north-east Solar_eclipse_of_August_21,_2017.txt 1 694 
passes Solar_eclipse_of_August_21,_2017.txt 1 4360 
story Solar_eclipse_of_August_21,_2017.txt 1 2683 
leading Solar_eclipse_of_August_21,_2017.txt 1 2196 
coasts Solar_eclipse_of_August_21,_2017.txt 3 45 972 1191 
least Solar_eclipse_of_August_21,_2017.txt 4 325 2674 3157 3683 
station Solar_eclipse_of_August_21,_2017.txt 3 1600 1656 1940 
passed Solar_eclipse_of_August_21,_2017.txt 1 2441 
northbound Solar_eclipse_of_August_21,_2017.txt 3 3387 3583 3622 
photographing Solar_eclipse_of_August_21,_2017.txt 1 1260 
gps Solar_eclipse_of_August_21,_2017.txt 1 1823 
hotel Solar_eclipse_of_August_21,_2017.txt 1 3025 
park Solar_eclipse_of_August_21,_2017.txt 2 581 1266 
required Solar_eclipse_of_August_21,_2017.txt 1 2468 
1918 Solar_eclipse_of_August_21,_2017.txt 2 132 977 
part Solar_eclipse_of_August_21,_2017.txt 5 834 1028 2744 3960 4787 
focusing Solar_eclipse_of_August_21,_2017.txt 1 2645 
observatory Solar_eclipse_of_August_21,_2017.txt 3 1901 1944 1953 
double Solar_eclipse_of_August_21,_2017.txt 1 4274 
2024 Solar_eclipse_of_August_21,_2017.txt 3 379 1052 1140 
1387.94 Solar_eclipse_of_August_21,_2017.txt 1 4917 
marriage Solar_eclipse_of_August_21,_2017.txt 1 315 
aas Solar_eclipse_of_August_21,_2017.txt 1 2300 
2023 Solar_eclipse_of_August_21,_2017.txt 1 402 
sister Solar_eclipse_of_August_21,_2017.txt 1 4965 
canceling Solar_eclipse_of_August_21,_2017.txt 1 3116 
paths Solar_eclipse_of_August_21,_2017.txt 1 1059 
u.s Solar_eclipse_of_August_21,_2017.txt 7 164 465 545 975 1172 1323 2936 
depending Solar_eclipse_of_August_21,_2017.txt 1 2611 
17:15 Solar_eclipse_of_August_21,_2017.txt 1 471 
scotland Solar_eclipse_of_August_21,_2017.txt 1 1492 
umbra Solar_eclipse_of_August_21,_2017.txt 2 647 1593 
also Solar_eclipse_of_August_21,_2017.txt 14 329 359 723 978 1133 1185 1762 2103 2127 2190 3108 4152 4426 4920 
play Solar_eclipse_of_August_21,_2017.txt 1 95 
added Solar_eclipse_of_August_21,_2017.txt 1 4189 
electric Solar_eclipse_of_August_21,_2017.txt 1 4320 
carolina Solar_eclipse_of_August_21,_2017.txt 11 106 241 453 456 507 515 1328 1333 2941 4184 4377 
77 Solar_eclipse_of_August_21,_2017.txt 2 4801 4850 
76 Solar_eclipse_of_August_21,_2017.txt 1 3513 
deobhakta Solar_eclipse_of_August_21,_2017.txt 1 2629 
70 Solar_eclipse_of_August_21,_2017.txt 3 428 2773 4348 
services Solar_eclipse_of_August_21,_2017.txt 1 1761 
clear Solar_eclipse_of_August_21,_2017.txt 1 541 
sometimes Solar_eclipse_of_August_21,_2017.txt 2 2956 3129 
cover Solar_eclipse_of_August_21,_2017.txt 2 202 1700 
salt Solar_eclipse_of_August_21,_2017.txt 2 3356 3398 
km Solar_eclipse_of_August_21,_2017.txt 9 431 1179 3040 3349 3424 3514 3551 3906 3973 
retinas Solar_eclipse_of_August_21,_2017.txt 1 2788 
chester Solar_eclipse_of_August_21,_2017.txt 1 1113 
coincided Solar_eclipse_of_August_21,_2017.txt 1 3086 
institutions Solar_eclipse_of_August_21,_2017.txt 1 1759 
particularly Solar_eclipse_of_August_21,_2017.txt 3 669 3886 4239 
somewhat Solar_eclipse_of_August_21,_2017.txt 1 3190 
neutral-density Solar_eclipse_of_August_21,_2017.txt 1 2905 
find Solar_eclipse_of_August_21,_2017.txt 1 4954 
impact Solar_eclipse_of_August_21,_2017.txt 3 3563 4292 4331 
giant Solar_eclipse_of_August_21,_2017.txt 1 578 
northern Solar_eclipse_of_August_21,_2017.txt 6 59 66 684 1438 1490 3908 
justice Solar_eclipse_of_August_21,_2017.txt 1 3144 
heavily Solar_eclipse_of_August_21,_2017.txt 1 4098 
failed Solar_eclipse_of_August_21,_2017.txt 1 3593 
override Solar_eclipse_of_August_21,_2017.txt 1 2749 
8 Solar_eclipse_of_August_21,_2017.txt 5 131 784 857 1051 4798 
atv Solar_eclipse_of_August_21,_2017.txt 1 3922 
begins Solar_eclipse_of_August_21,_2017.txt 1 4648 
his Solar_eclipse_of_August_21,_2017.txt 3 2058 2698 2716 
fastest Solar_eclipse_of_August_21,_2017.txt 1 1751 
1015 Solar_eclipse_of_August_21,_2017.txt 1 3403 
during Solar_eclipse_of_August_21,_2017.txt 10 750 1584 1812 1970 2044 2122 2718 3716 4040 4485 
1.85 Solar_eclipse_of_August_21,_2017.txt 1 3222 
him Solar_eclipse_of_August_21,_2017.txt 1 2706 
5:25 Solar_eclipse_of_August_21,_2017.txt 1 272 
doubled Solar_eclipse_of_August_21,_2017.txt 3 3448 3569 3761 
common Solar_eclipse_of_August_21,_2017.txt 1 2835 
activity Solar_eclipse_of_August_21,_2017.txt 1 2101 
set Solar_eclipse_of_August_21,_2017.txt 1 3700 
see Solar_eclipse_of_August_21,_2017.txt 4 741 2189 2237 4919 
are Solar_eclipse_of_August_21,_2017.txt 1 2425 
hibiscus Solar_eclipse_of_August_21,_2017.txt 1 2138 
mechanically Solar_eclipse_of_August_21,_2017.txt 1 2886 
bailys Solar_eclipse_of_August_21,_2017.txt 1 4637 
currently Solar_eclipse_of_August_21,_2017.txt 1 1027 
various Solar_eclipse_of_August_21,_2017.txt 2 2124 3147 
probably Solar_eclipse_of_August_21,_2017.txt 1 3725 
spectrophotometer Solar_eclipse_of_August_21,_2017.txt 1 2272 
europe Solar_eclipse_of_August_21,_2017.txt 7 71 688 1350 1469 1473 4518 4747 
cartographer Solar_eclipse_of_August_21,_2017.txt 1 3217 
latin Solar_eclipse_of_August_21,_2017.txt 1 4700 
creating Solar_eclipse_of_August_21,_2017.txt 3 3375 3678 3882 
sold Solar_eclipse_of_August_21,_2017.txt 1 2473 
attention Solar_eclipse_of_August_21,_2017.txt 1 309 
aircraft Solar_eclipse_of_August_21,_2017.txt 3 1427 3077 3834 
fatality Solar_eclipse_of_August_21,_2017.txt 2 3914 3917 
citys Solar_eclipse_of_August_21,_2017.txt 1 4044 
last Solar_eclipse_of_August_21,_2017.txt 3 931 1020 2620 
pdt Solar_eclipse_of_August_21,_2017.txt 4 218 231 470 531 
9:05 Solar_eclipse_of_August_21,_2017.txt 1 216 
9:00 Solar_eclipse_of_August_21,_2017.txt 1 529 
load Solar_eclipse_of_August_21,_2017.txt 1 3021 
regulates Solar_eclipse_of_August_21,_2017.txt 1 2887 
tennessee Solar_eclipse_of_August_21,_2017.txt 9 450 502 1291 1295 1300 1783 2819 3940 4106 
incandescent Solar_eclipse_of_August_21,_2017.txt 1 2251 
village Solar_eclipse_of_August_21,_2017.txt 1 602 
expensive Solar_eclipse_of_August_21,_2017.txt 1 2277 
described Solar_eclipse_of_August_21,_2017.txt 2 3945 4055 
perspectives Solar_eclipse_of_August_21,_2017.txt 1 1768 
stamp Solar_eclipse_of_August_21,_2017.txt 4 4538 4546 4571 4595 
due Solar_eclipse_of_August_21,_2017.txt 2 2067 4216 
reduction Solar_eclipse_of_August_21,_2017.txt 1 4301 
citations Solar_eclipse_of_August_21,_2017.txt 1 3934 
ireland Solar_eclipse_of_August_21,_2017.txt 2 1489 1491 
meeting Solar_eclipse_of_August_21,_2017.txt 1 2303 
fire Solar_eclipse_of_August_21,_2017.txt 1 3090 
gas Solar_eclipse_of_August_21,_2017.txt 1 4412 
races Solar_eclipse_of_August_21,_2017.txt 1 4075 
recalled Solar_eclipse_of_August_21,_2017.txt 1 2496 
demand Solar_eclipse_of_August_21,_2017.txt 1 4423 
towns Solar_eclipse_of_August_21,_2017.txt 1 2966 
georgia Solar_eclipse_of_August_21,_2017.txt 3 451 1330 4379 
look Solar_eclipse_of_August_21,_2017.txt 1 2754 
eclipsed Solar_eclipse_of_August_21,_2017.txt 3 1989 4629 4659 
while Solar_eclipse_of_August_21,_2017.txt 4 719 2733 3281 3709 
pressed Solar_eclipse_of_August_21,_2017.txt 1 4577 
behavior Solar_eclipse_of_August_21,_2017.txt 1 2077 
eclipses Solar_eclipse_of_August_21,_2017.txt 14 234 371 390 805 1099 1151 4688 4749 4760 4836 4886 4896 4925 4937 
portugal Solar_eclipse_of_August_21,_2017.txt 1 1518 
itself Solar_eclipse_of_August_21,_2017.txt 1 2807 
triple Solar_eclipse_of_August_21,_2017.txt 1 4277 
leaving Solar_eclipse_of_August_21,_2017.txt 1 2705 
eyewear Solar_eclipse_of_August_21,_2017.txt 1 2027 
wherein Solar_eclipse_of_August_21,_2017.txt 1 391 
widely Solar_eclipse_of_August_21,_2017.txt 1 302 
9 Solar_eclipse_of_August_21,_2017.txt 3 403 408 4843 
carbondale Solar_eclipse_of_August_21,_2017.txt 4 585 1073 1086 1112 
mw/minute Solar_eclipse_of_August_21,_2017.txt 2 4349 4356 
used Solar_eclipse_of_August_21,_2017.txt 3 706 4427 4501 
flows Solar_eclipse_of_August_21,_2017.txt 1 4022 
alert Solar_eclipse_of_August_21,_2017.txt 1 4147 
viewing Solar_eclipse_of_August_21,_2017.txt 14 1206 1211 1335 1379 1392 1962 2004 2017 2042 2471 2502 2701 2970 3012 
arrived Solar_eclipse_of_August_21,_2017.txt 1 3838 
user Solar_eclipse_of_August_21,_2017.txt 1 2231 
dark Solar_eclipse_of_August_21,_2017.txt 1 4585 
chickens Solar_eclipse_of_August_21,_2017.txt 1 2088 
spent Solar_eclipse_of_August_21,_2017.txt 1 644 
edge Solar_eclipse_of_August_21,_2017.txt 1 1630 
organization Solar_eclipse_of_August_21,_2017.txt 1 2324 
redistribution Solar_eclipse_of_August_21,_2017.txt 1 4698 
staffing Solar_eclipse_of_August_21,_2017.txt 1 3093 
shape Solar_eclipse_of_August_21,_2017.txt 1 2803 
injuries Solar_eclipse_of_August_21,_2017.txt 1 367 
subseries Solar_eclipse_of_August_21,_2017.txt 1 4908 
majority Solar_eclipse_of_August_21,_2017.txt 1 2406 
workers Solar_eclipse_of_August_21,_2017.txt 1 3704 
exclusively Solar_eclipse_of_August_21,_2017.txt 2 985 1024 
location Solar_eclipse_of_August_21,_2017.txt 2 698 738 
customers Solar_eclipse_of_August_21,_2017.txt 4 2515 2825 3154 3169 
australia Solar_eclipse_of_August_21,_2017.txt 1 4744 
march Solar_eclipse_of_August_21,_2017.txt 3 630 876 4610 
