all St_Ives,_Cornwall.txt 1 2828 
alive St_Ives,_Cornwall.txt 1 928 
astronomer St_Ives,_Cornwall.txt 1 1087 
examples St_Ives,_Cornwall.txt 1 2630 
duration St_Ives,_Cornwall.txt 1 1530 
home St_Ives,_Cornwall.txt 1 2980 
establishing St_Ives,_Cornwall.txt 1 2419 
festivals St_Ives,_Cornwall.txt 2 2485 2693 
transport St_Ives,_Cornwall.txt 1 3048 
trust St_Ives,_Cornwall.txt 2 1119 1172 
monday St_Ives,_Cornwall.txt 1 2599 
for St_Ives,_Cornwall.txt 22 15 23 128 225 324 630 648 669 865 1418 1471 1528 1609 1831 1850 1933 2171 2328 2518 2701 3112 3130 
antiquity St_Ives,_Cornwall.txt 1 2576 
polat St_Ives,_Cornwall.txt 1 2248 
fox St_Ives,_Cornwall.txt 1 2361 
per St_Ives,_Cornwall.txt 2 847 1322 
religion St_Ives,_Cornwall.txt 1 1710 
trustees St_Ives,_Cornwall.txt 1 1522 
boat St_Ives,_Cornwall.txt 3 698 934 1166 
musicians St_Ives,_Cornwall.txt 1 2732 
landward St_Ives,_Cornwall.txt 1 809 
entitling St_Ives,_Cornwall.txt 1 1541 
officer St_Ives,_Cornwall.txt 1 2549 
be St_Ives,_Cornwall.txt 4 148 769 1056 2562 
blowing St_Ives,_Cornwall.txt 1 840 
medieval St_Ives,_Cornwall.txt 1 426 
late St_Ives,_Cornwall.txt 2 2283 2456 
guildhall St_Ives,_Cornwall.txt 1 2774 
seine St_Ives,_Cornwall.txt 2 539 599 
notable St_Ives,_Cornwall.txt 2 251 3253 
lighthouse St_Ives,_Cornwall.txt 1 2847 
ply St_Ives,_Cornwall.txt 1 3009 
notably St_Ives,_Cornwall.txt 1 95 
1410 St_Ives,_Cornwall.txt 1 1795 
jamesons St_Ives,_Cornwall.txt 1 2966 
references St_Ives,_Cornwall.txt 1 3269 
accompanied St_Ives,_Cornwall.txt 1 2553 
1939 St_Ives,_Cornwall.txt 3 825 833 2176 
exciting St_Ives,_Cornwall.txt 1 2394 
by St_Ives,_Cornwall.txt 33 118 141 391 408 449 586 710 724 782 950 1220 1269 1499 1614 1637 1655 1926 1945 1956 1996 2044 2145 2189 2313 2359 2554 2589 2726 2854 2905 3093 3151 3203 
beaches St_Ives,_Cornwall.txt 1 1258 
cemetery St_Ives,_Cornwall.txt 2 1768 1827 
on St_Ives,_Cornwall.txt 23 58 72 218 413 441 682 795 937 1100 1150 1187 1209 1251 1910 1920 2369 2462 2533 2595 2866 2995 3125 3231 
about St_Ives,_Cornwall.txt 1 7 
hidden St_Ives,_Cornwall.txt 1 3278 
columb St_Ives,_Cornwall.txt 1 2644 
carried St_Ives,_Cornwall.txt 1 584 
world St_Ives,_Cornwall.txt 1 2711 
visitors St_Ives,_Cornwall.txt 2 2743 3113 
of St_Ives,_Cornwall.txt 129 52 56 61 99 131 139 178 188 193 237 248 258 293 331 359 396 421 479 488 502 519 564 580 589 592 601 607 623 695 811 824 830 884 964 967 978 991 996 1005 1073 1077 1109 1116 1159 1177 1213 1248 1281 1292 1320 1353 1358 1376 1398 1478 1484 1503 1523 1531 1556 1579 1584 1587 1594 1597 1602 1657 1665 1681 1706 1717 1730 1736 1748 1764 1781 1790 1801 1809 1825 1837 1845 1853 1875 1913 1939 1982 2011 2015 2025 2037 2077 2086 2105 2107 2128 2196 2277 2310 2356 2373 2378 2411 2426 2446 2454 2521 2544 2565 2573 2583 2586 2616 2626 2631 2658 2686 2694 2784 2812 2817 2902 2914 2943 2981 3000 3019 3043 3102 
hepworth St_Ives,_Cornwall.txt 4 2180 2211 2315 2437 
shigekichi St_Ives,_Cornwall.txt 1 2087 
ceremonial St_Ives,_Cornwall.txt 2 1547 1573 
boatbuilder St_Ives,_Cornwall.txt 1 711 
range St_Ives,_Cornwall.txt 1 1680 
regular St_Ives,_Cornwall.txt 1 3149 
sighting St_Ives,_Cornwall.txt 2 1108 1158 
camaret-sur-mer St_Ives,_Cornwall.txt 1 3225 
act St_Ives,_Cornwall.txt 1 1656 
served St_Ives,_Cornwall.txt 1 3202 
lasting St_Ives,_Cornwall.txt 1 2700 
sepulture St_Ives,_Cornwall.txt 1 1854 
marshal St_Ives,_Cornwall.txt 3 263 302 310 
road St_Ives,_Cornwall.txt 1 2997 
counties St_Ives,_Cornwall.txt 1 3015 
vicar St_Ives,_Cornwall.txt 1 2552 
shji St_Ives,_Cornwall.txt 2 2054 2097 
amounted St_Ives,_Cornwall.txt 1 523 
civil St_Ives,_Cornwall.txt 3 42 156 1476 
towednack St_Ives,_Cornwall.txt 1 1849 
prisoners St_Ives,_Cornwall.txt 1 410 
within St_Ives,_Cornwall.txt 1 1806 
operational St_Ives,_Cornwall.txt 1 2137 
arms St_Ives,_Cornwall.txt 1 1580 
down St_Ives,_Cornwall.txt 2 304 2516 
lies St_Ives,_Cornwall.txt 2 50 217 
rising St_Ives,_Cornwall.txt 1 1252 
primarily St_Ives,_Cornwall.txt 1 90 
artists St_Ives,_Cornwall.txt 10 132 2173 2220 2244 2264 2278 2294 2311 2367 2736 
armada St_Ives,_Cornwall.txt 1 358 
drifted St_Ives,_Cornwall.txt 1 896 
france St_Ives,_Cornwall.txt 1 3230 
art St_Ives,_Cornwall.txt 6 2029 2069 2355 2377 2428 2748 
her St_Ives,_Cornwall.txt 6 203 2214 2440 2460 2842 2864 
area St_Ives,_Cornwall.txt 3 1450 1497 1670 
1639 St_Ives,_Cornwall.txt 2 122 1540 
strictly St_Ives,_Cornwall.txt 1 558 
there St_Ives,_Cornwall.txt 9 834 1104 1154 1877 1903 2001 2253 2751 3025 
specifically St_Ives,_Cornwall.txt 1 3129 
winters St_Ives,_Cornwall.txt 1 1295 
councils St_Ives,_Cornwall.txt 2 1356 1634 
describes St_Ives,_Cornwall.txt 1 552 
structure St_Ives,_Cornwall.txt 1 1351 
way St_Ives,_Cornwall.txt 1 372 
heritage St_Ives,_Cornwall.txt 1 719 
valley St_Ives,_Cornwall.txt 1 2020 
was St_Ives,_Cornwall.txt 50 69 116 134 221 245 321 411 429 435 447 540 568 576 583 609 626 651 746 780 793 805 835 858 904 935 999 1044 1060 1069 1090 1096 1105 1123 1155 1167 1195 1466 1860 1878 1942 1989 2064 2344 2388 2451 2526 2718 2893 2930 3089 
war St_Ives,_Cornwall.txt 1 1947 
pottery St_Ives,_Cornwall.txt 6 2060 2080 2082 2101 2135 2342 
leach St_Ives,_Cornwall.txt 7 2046 2052 2059 2063 2114 2134 2146 
appointing St_Ives,_Cornwall.txt 1 1551 
north St_Ives,_Cornwall.txt 2 51 443 
form St_Ives,_Cornwall.txt 1 2306 
great St_Ives,_Cornwall.txt 3 980 1111 3104 
holidaymakers St_Ives,_Cornwall.txt 1 994 
but St_Ives,_Cornwall.txt 7 454 1769 1823 1855 1951 2279 3099 
tate St_Ives,_Cornwall.txt 6 2039 2048 2198 2201 2206 2447 
1597 St_Ives,_Cornwall.txt 1 360 
mick St_Ives,_Cornwall.txt 1 2873 
authority St_Ives,_Cornwall.txt 4 1457 1470 1607 1675 
survived St_Ives,_Cornwall.txt 1 1018 
cottage St_Ives,_Cornwall.txt 1 2031 
line St_Ives,_Cornwall.txt 4 973 3078 3088 3134 
with St_Ives,_Cornwall.txt 12 150 344 465 841 985 1085 1395 1676 1686 2242 2863 3224 
featuring St_Ives,_Cornwall.txt 1 2888 
he St_Ives,_Cornwall.txt 4 281 929 2094 2332 
made St_Ives,_Cornwall.txt 2 370 2830 
places St_Ives,_Cornwall.txt 2 2946 3161 
society St_Ives,_Cornwall.txt 2 2276 2309 
wish St_Ives,_Cornwall.txt 1 2453 
j St_Ives,_Cornwall.txt 1 1998 
up St_Ives,_Cornwall.txt 6 843 2018 2057 2251 2346 2738 
us St_Ives,_Cornwall.txt 1 3249 
different St_Ives,_Cornwall.txt 2 593 602 
converted St_Ives,_Cornwall.txt 2 1932 1973 
perpetuity St_Ives,_Cornwall.txt 1 2466 
uk St_Ives,_Cornwall.txt 2 101 2699 
monument St_Ives,_Cornwall.txt 2 2488 2508 
jumbo St_Ives,_Cornwall.txt 2 706 728 
jerry St_Ives,_Cornwall.txt 1 2965 
baptism St_Ives,_Cornwall.txt 1 1782 
trips St_Ives,_Cornwall.txt 1 676 
connect St_Ives,_Cornwall.txt 1 3166 
irish St_Ives,_Cornwall.txt 2 190 1733 
ordered St_Ives,_Cornwall.txt 1 312 
moore St_Ives,_Cornwall.txt 2 1089 2900 
links St_Ives,_Cornwall.txt 2 3136 3275 
frederick St_Ives,_Cornwall.txt 1 2321 
abstract St_Ives,_Cornwall.txt 2 2291 2301 
kingston St_Ives,_Cornwall.txt 1 265 
moved St_Ives,_Cornwall.txt 1 2231 
life St_Ives,_Cornwall.txt 2 2484 2840 
an St_Ives,_Cornwall.txt 9 279 336 617 1160 1286 1318 1492 1732 2126 
as St_Ives,_Cornwall.txt 20 561 667 704 887 961 1148 1550 1568 1798 2074 2224 2246 2389 2391 2393 2395 2422 2722 2928 3175 
held St_Ives,_Cornwall.txt 3 1410 2125 2766 
at St_Ives,_Cornwall.txt 13 278 431 458 543 763 807 860 1564 2164 2642 2767 2833 2991 
prayer St_Ives,_Cornwall.txt 1 255 
1895 St_Ives,_Cornwall.txt 1 424 
ship St_Ives,_Cornwall.txt 2 867 1043 
widows St_Ives,_Cornwall.txt 1 2556 
film St_Ives,_Cornwall.txt 3 2353 2713 2967 
constructed St_Ives,_Cornwall.txt 1 2502 
pilchards St_Ives,_Cornwall.txt 2 480 520 
renowned St_Ives,_Cornwall.txt 1 127 
6th St_Ives,_Cornwall.txt 1 1740 
venton St_Ives,_Cornwall.txt 1 2612 
seminar St_Ives,_Cornwall.txt 1 2733 
knills St_Ives,_Cornwall.txt 1 2487 
park-and-ride St_Ives,_Cornwall.txt 1 3110 
eastern St_Ives,_Cornwall.txt 1 2110 
when St_Ives,_Cornwall.txt 3 901 932 1885 
field St_Ives,_Cornwall.txt 1 342 
book St_Ives,_Cornwall.txt 1 256 
entrepreneurs St_Ives,_Cornwall.txt 1 2728 
branch St_Ives,_Cornwall.txt 5 338 972 2195 3077 3097 
tinners St_Ives,_Cornwall.txt 1 2567 
granite St_Ives,_Cornwall.txt 1 2507 
12 St_Ives,_Cornwall.txt 1 3042 
residence St_Ives,_Cornwall.txt 2 1867 2252 
1428 St_Ives,_Cornwall.txt 1 1822 
jumbos St_Ives,_Cornwall.txt 1 721 
reportedly St_Ives,_Cornwall.txt 1 1168 
separate St_Ives,_Cornwall.txt 1 1355 
shelter St_Ives,_Cornwall.txt 1 378 
football St_Ives,_Cornwall.txt 3 2985 3029 3046 
june St_Ives,_Cornwall.txt 1 1152 
cove St_Ives,_Cornwall.txt 3 37 1267 2916 
includes St_Ives,_Cornwall.txt 3 1506 2607 2705 
express St_Ives,_Cornwall.txt 1 3153 
meaning St_Ives,_Cornwall.txt 1 34 
important St_Ives,_Cornwall.txt 2 430 438 
trouble St_Ives,_Cornwall.txt 1 870 
exported St_Ives,_Cornwall.txt 1 627 
throughout St_Ives,_Cornwall.txt 1 2668 
formal St_Ives,_Cornwall.txt 2 1565 1572 
representationally St_Ives,_Cornwall.txt 1 2336 
overseas St_Ives,_Cornwall.txt 1 2222 
died St_Ives,_Cornwall.txt 1 817 
conclusive St_Ives,_Cornwall.txt 1 1128 
building St_Ives,_Cornwall.txt 2 784 1789 
bulk St_Ives,_Cornwall.txt 1 622 
younger St_Ives,_Cornwall.txt 1 2243 
e St_Ives,_Cornwall.txt 1 1957 
until St_Ives,_Cornwall.txt 1 2117 
overlooking St_Ives,_Cornwall.txt 1 2509 
1800 St_Ives,_Cornwall.txt 1 2026 
carrack St_Ives,_Cornwall.txt 1 684 
wards St_Ives,_Cornwall.txt 1 1405 
walked St_Ives,_Cornwall.txt 1 303 
students St_Ives,_Cornwall.txt 1 2149 
2007 St_Ives,_Cornwall.txt 2 140 1103 
time St_Ives,_Cornwall.txt 3 908 918 923 
far St_Ives,_Cornwall.txt 1 1678 
townsmen St_Ives,_Cornwall.txt 1 1753 
2008 St_Ives,_Cornwall.txt 2 1064 2682 
2009 St_Ives,_Cornwall.txt 1 1626 
original St_Ives,_Cornwall.txt 1 1525 
once St_Ives,_Cornwall.txt 2 2666 2998 
